id,name,price,stock,category_id
1,Himmlisch ST381 Magnetic Sun Shade For Maruti Alto,139.98,47,3.0
2,Mount Nano MN 110 250 ml Wheel Tire Cleaner,19.8,256,3.0
3,Carmity RN-020 Maruti Ciaz Car Grill Cover,88.0,252,3.0
4,Trigcars I20 Car Grill Cover,139.98,165,3.0
5,Autofurnish Car Cover For Santro Xing,30.6,89,3.0
6,Rainfun Car Cover For 800,35.980000000000004,85,3.0
7,Galaxy Car Cover For Micra,28.8,236,3.0
8,Crokrok Nylon Car Mat For Datsun Go,49.980000000000004,300,3.0
9,CARBANAO Plastic Car Mat For Maruti Suzuki Swift,88.0,443,3.0
10,Crokrok Nylon Car Mat For Volkswagen Vento,49.980000000000004,76,3.0
11,Crokrok Nylon Car Mat For Maruti Suzuki WagonR Stingray,49.980000000000004,457,3.0
12,"Bike World Brake Light, Tail Light LED Bulb for  Daewoo Cielo",9.98,340,3.0
13,"Bike World Brake Light, Tail Light LED Bulb for  Hero CD",9.98,556,3.0
14,"Bike World Brake Light, Tail Light LED Bulb for  Volkswagen Polo Cross",9.98,466,3.0
15,"Bike World Brake Light, Tail Light LED Bulb for  Honda City",9.98,329,3.0
16,"Bike World Brake Light, Tail Light LED Bulb for  Honda Dream CD110",9.98,193,3.0
17,"Bike World Brake Light, Tail Light LED Bulb for  Universal For Bike Universal For Bike",9.98,585,3.0
18,"Bike World Brake Light, Tail Light LED Bulb for  Honda CBR 250",9.98,239,3.0
19,"Bike World Brake Light, Tail Light LED Bulb for  Volvo VNL",9.98,420,3.0
20,CarSizzler Car Storage Bag,19.98,240,3.0
21,Leebo LED Headlight For Bajaj Pulsar 150,60.0,222,3.0
22,Leebo LED Headlight For Honda CB,60.0,50,3.0
23,Leebo LED Headlight For Suzuki Sling,60.0,360,3.0
24,Speedwav 240450 Sun Shade For Maruti WagonR,28.0,347,3.0
25,Speedwav 240403 Sun Shade For Fiat Punto,28.0,386,3.0
26,Speedwav 240371 Sun Shade For Hyundai Creta,28.0,392,3.0
27,Speedwav 240428 Sun Shade For Maruti Swift,28.0,337,3.0
28,Speedwav 240318 Sun Shade For Tata Grand Dicor,28.0,321,3.0
29,Speedwav 240325 Sun Shade For Chevrolet Captiva,28.0,49,3.0
30,Speedwav 240306 Sun Shade For Honda Accord,28.0,321,3.0
31,Speedwav 240459 Sun Shade For Maruti Omni,28.0,330,3.0
32,Speedwav 240421 Sun Shade For Ford Figo,28.0,20,3.0
33,Speedwav 240408 Sun Shade For Volkswagen Polo,28.0,158,3.0
34,Speedwav 240322 Sun Shade For Mahindra XUV 500,28.0,403,3.0
35,Speedwav 240342 Sun Shade For Mahindra Scorpio,28.0,225,3.0
36,Speedwav 240319 Sun Shade For Toyota Corolla Altis,28.0,17,3.0
37,Speedwav 240411 Sun Shade For Honda Jazz,28.0,186,3.0
38,Speedwav 240440 Sun Shade For Chevrolet Spark,28.0,374,3.0
39,Speedwav 240363 Sun Shade For Renault Duster,28.0,46,3.0
40,Speedwav 240420 Sun Shade For Ford Figo,28.0,167,3.0
41,Speedwav 240350 Sun Shade For Tata Indigo CS,28.0,212,3.0
42,Speedwav 240362 Sun Shade For Renault Duster,28.0,89,3.0
43,Speedwav 240461 Sun Shade For Maruti 800,28.0,102,3.0
44,Speedwav 240460 Sun Shade For Maruti 800,28.0,276,3.0
45,Speedwav 240404 Sun Shade For Fiat Punto,28.0,187,3.0
46,Speedwav 240327 Sun Shade For Fiat Linea,28.0,271,3.0
47,Speedwav 240439 Sun Shade For Chevrolet Beat,28.0,246,3.0
48,Speedwav 232305 Hood Car Sticker,54.0,46,3.0
49,Speedwav 232358 Hood Car Sticker,54.0,274,3.0
50,Speedwav 232241 Hood Car Sticker,54.0,154,3.0
51,Viaan T1-HH-020 Car Hanging Ornament,19.98,337,3.0
52,Xtremeonlinestore One-way Bike Alarm Kit,39.980000000000004,15,3.0
53,SONIK G-7 Motorbike Helmet - XL,17.0,41,3.0
54,Cross Fingers Honda Two Wheeler Cover,19.8,305,3.0
55,Cross Fingers Bajaj Two Wheeler Cover,19.8,271,3.0
56,Cross Fingers Mahindra Two Wheeler Cover,19.8,232,3.0
57,Cross Fingers Yamaha Two Wheeler Cover,19.8,258,3.0
58,Cross Fingers TVS Two Wheeler Cover,19.8,220,3.0
59,Cross Fingers Hero Two Wheeler Cover,19.8,50,3.0
60,ACCESSOREEZ CRTRTBL052 Cup Holder Car Tray Table,24.0,287,3.0
61,Poddar XR-703 2 Wheeler Tyre,29.0,75,3.0
62,Vheelocityin Decorative Gold Chrome Strip For Interior / Extrerior - 20M For Mahindra E20 Car Side Beading,17.1,590,3.0
63,Vheelocityin Decorative Gold Chrome Strip For Interior / Extrerior - 20M For Chevrolet Cruze Car Side Beading,17.1,616,3.0
64,ESHOPITUDE Disk Break Lock ZARGV1097-HONDAINTERCEPTOR U Lock,13.06,398,3.0
65,Retina Universal For Bike Two Wheeler Cover,9.98,54,3.0
66,VDRIVE HEAVY NET / JALI_40 Sun Shade For Maruti Ertiga,33.980000000000004,373,3.0
67,VDRIVE HEAVY NET / JALI_16 Sun Shade For Chevrolet Beat,33.980000000000004,204,3.0
68,VDRIVE HEAVY NET / JALI_124 Sun Shade For Mahindra Verito,33.980000000000004,558,3.0
69,VDRIVE HEAVY NET / JALI_44 Sun Shade For Toyota Etios Liva,33.980000000000004,418,3.0
70,VDRIVE HEAVY NET / JALI_41 Sun Shade For Maruti Esteem,33.980000000000004,247,3.0
71,VDRIVE HEAVY NET / JALI_104 Sun Shade For Chevrolet Sail UVA,33.980000000000004,386,3.0
72,VDRIVE HEAVY NET / JALI_10 Sun Shade For Tata Aria,33.980000000000004,37,3.0
73,ZORDEN Luxury Cup Holder Ashtray USB Toyota Innova T-2 Car Armrest,79.98,410,3.0
74,VDRIVE HEAVY NET / JALI_88 Sun Shade For Fiat Palio,33.980000000000004,278,3.0
75,Allure Auto CM 125 Car Mat Tata Zest,63.0,122,3.0
76,Allure Auto CM 1577 Car Mat Fiat Avventura,98.0,44,3.0
77,Allure Auto CM 1022 Car Mat HM Ambassador 2.0D,98.0,232,3.0
78,Allure Auto CM 1643 Car Mat Maruti New Swift,98.0,313,3.0
79,Allure Auto CM 1414 Car Mat Volkswagen Beetle,98.0,158,3.0
80,Allure Auto CM 1218 Car Mat Maruti Omni,98.0,341,3.0
